Artist, Album, Track 
Paul McCartney,Egypt Station (Explorer's Edition),Who Cares
Paul McCartney,Egypt Station (Explorer's Edition),Fuh You
Paul McCartney,Egypt Station (Explorer's Edition),Confidante
Paul McCartney,Egypt Station (Explorer's Edition),People Want Peace
Paul McCartney,Egypt Station (Explorer's Edition),Hand In Hand
Paul McCartney,Egypt Station (Explorer's Edition),Dominoes
Paul McCartney,Egypt Station (Explorer's Edition),Back In Brazil
Paul McCartney,Egypt Station (Explorer's Edition),Do It Now
Paul McCartney,Egypt Station (Explorer's Edition),Caesar Rock
Paul McCartney,Egypt Station (Explorer's Edition),Despite Repeated Warnings
Paul McCartney,Egypt Station (Explorer's Edition),Station II
Paul McCartney,Egypt Station (Explorer's Edition),Hunt You Down/Naked/C-Link
Paul McCartney,Egypt Station (Explorer's Edition),Get Started
Paul McCartney,Egypt Station (Explorer's Edition),Nothing For Free
Paul McCartney,Egypt Station (Explorer's Edition),Frank Sinatra’s Party
Paul McCartney,Egypt Station (Explorer's Edition),Sixty Second Street
Paul McCartney,Egypt Station,Opening Station
Paul McCartney,Egypt Station,I Don't Know
Paul McCartney,Egypt Station,Come On To Me
Paul McCartney,Egypt Station,Happy With You
Paul McCartney,Egypt Station,Who Cares
Paul McCartney,Egypt Station,Fuh You
Paul McCartney,Egypt Station,Confidante
Paul McCartney,Egypt Station,People Want Peace
Paul McCartney,Egypt Station,Hand In Hand
Paul McCartney,Egypt Station,Dominoes
Paul McCartney,Egypt Station,Back In Brazil
Paul McCartney,Egypt Station,Do It Now
Paul McCartney,Egypt Station,Caesar Rock
Paul McCartney,Egypt Station,Despite Repeated Warnings
Paul McCartney,Egypt Station,Station II
Paul McCartney,Egypt Station,Hunt You Down/Naked/C-Link
Paul McCartney,NEW (Collector's Edition),Struggle
Paul McCartney,NEW (Collector's Edition),Hell To Pay
Paul McCartney,NEW (Collector's Edition),Demons Dance
Paul McCartney,NEW (Collector's Edition),Save Us - Live At Tokyo Dome
