Label,a,all,and,are,at,baby,back,be,better,but,can,come,cry,day,do,don,down,for,from,get,girl,go,gonna,good,got,have,he,her,hey,his,home,how,i,if,in,is,it,just,know,let,like,little,ll,long,love,m,make,man,me,mind,my,need,never,night,no,not,nothing,now,of,oh,on,one,only,out,please,re,s,said,say,see,she,so,t,take,tell,that,the,there,they,thing,this,time,to,up,ve,wa,want,way,we,well,what,when,where,why,will,with,yeah,yes,you,your
Lennon,0.13548762009832357,0.0,0.07251275166147028,0.1291012892590439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526674482831219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022329951523503536,0.0,0.0,0.0,0.1361242480279439,0.0,0.0,0.0,0.028435764917113034,0.0,0.03365922117120861,0.0,0.12603149015006135,0.04236437338586074,0.3411172793044237,0.0,0.0,0.0,0.0,0.0,0.5980813387961035,0.0,0.12695161337264935,0.0,0.11804740142956116,0.0,0.0,0.037869430538799445,0.0,0.0,0.24279400170903825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06797406664111477,0.0,0.21182186692930371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04051813092171438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lennon,0.0,0.24036257567552224,0.15463428310893007,0.0,0.09602920147107158,0.0,0.0,0.09684037111041312,0.0,0.0,0.0,0.0934971203975289,0.0,0.0,0.19654075011176866,0.0,0.0,0.06867502162157778,0.0,0.0,0.0,0.08386818955127873,0.0,0.0,0.40499630021098293,0.0,0.0,0.0,0.0,0.0,0.10837794075035034,0.0,0.3386350547672248,0.0,0.02721078877518998,0.09940134114814303,0.0,0.17999835564932576,0.0,0.0,0.0,0.0,0.19860266939940882,0.056122368433888646,0.0,0.0,0.0,0.0,0.2047722766071153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2157749582917051,0.0,0.0,0.0,0.0,0.0,0.0493105735095597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05570945070052933,0.10353963193870032,0.0,0.0,0.0,0.0,0.0,0.2520757437169247,0.0,0.0,0.0,0.22499794456165717,0.0,0.0,0.0,0.0,0.07125156135441449,0.0,0.0,0.08482150597484868,0.0,0.28401933391387546,0.10168662680287793,0.375540401835973,0.03630549947235483
Lennon,0.0,0.3627705058488537,0.0,0.0,0.0,0.0,0.0,0.05968104246482439,0.0,0.019362742079383207,0.14247682221406557,0.0,0.0,0.0,0.020764227124919366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029122112626084686,0.0,0.0,0.007186944667390111,0.350053279527339,0.02156083400217033,0.0,0.008751331988183475,0.0,0.0,0.0,0.0,0.0,0.5674310876485347,0.0,0.010833295354461531,0.0,0.0,0.0,0.0,0.5292376784068026,0.0,0.0,0.012188360623239834,0.0,0.11228805694753884,0.0,0.0,0.00987146225489147,0.0,0.01188534291453922,0.0,0.0,0.0,0.011330829726524907,0.03907189529767725,0.0,0.010491032858782365,0.00987146225489147,0.0,0.0,0.051499153526986335,0.0,0.0,0.051499153526986335,0.005469401212682646,0.03399248917957472,0.0,0.0,0.0,0.010716501637705213,0.016644633467374555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014075981342983806,0.0,0.0,0.0,0.0,0.0,0.3092336773111731,0.0
Lennon,0.0,0.0,0.1025269081340905,0.0,0.0,0.0,0.0,0.24969742022645172,0.0,0.17012330459913969,0.3338181162491363,0.0,0.0,0.0,0.0,0.11678949612127561,0.1427844725966032,0.0,0.0,0.1327386509633583,0.0,0.0,0.0,0.0,0.06961733707019083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13970421402406538,0.0,0.04209688799154898,0.15378044198183705,0.04209688799154898,0.0,0.0,0.0,0.0,0.0,0.24580116063823798,0.0,0.0,0.0,0.0,0.0,0.3167962407603538,0.0,0.04593438383082397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061450290159559495,0.11564242110907379,0.0,0.0,0.25855860249988605,0.0,0.14856351911163468,0.08618620083329537,0.0,0.06636932548167915,0.0,0.0,0.0,0.0,0.0324981524678462,0.0,0.1968367105671734,0.0,0.06961733707019083,0.0,0.0,0.0,0.0,0.11023087284755953,0.0,0.0,0.06561223685572447,0.0,0.0,0.0,0.5126345406704526,0.2808350315369149
Lennon,0.018497523169988844,0.48473007819279434,0.12127308909701674,0.0,0.48952551055663435,0.0,0.0,0.20252742091848286,0.0,0.0,0.0,0.03666290677694233,0.043236284534305246,0.0,0.18496625783333207,0.029602172374217996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19475651486310402,0.09345337425859203,0.0,0.155912485369495,0.04268052782589125,0.07058252601914955,0.0,0.0,0.0,0.0,0.24920899802291208,0.0,0.027175461050999283,0.0,0.06433481614518963,0.0,0.04014854605055483,0.0,0.023285613744776404,0.078573526390994,0.0,0.0,0.0,0.0,0.047631143899120904,0.0,0.0,0.0,0.028203853220334002,0.0,0.0,0.0,0.0,0.033644741668019555,0.0,0.0,0.0,0.0,0.0,0.0,0.04369055194307681,0.0,0.0,0.0,0.01624034561641032,0.23551319167613688,0.0,0.0,0.0,0.41366794776193677,0.08237178369173136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027939784033365025,0.0,0.0,0.03326094913954083,0.0,0.0,0.0,0.19057199715245488,0.0
Lennon,0.0,0.0,0.12451344374759031,0.0,0.0,0.0,0.0,0.06064883112757591,0.0,0.03443427503222747,0.1351347465621823,0.0,0.10358025031525371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07878699152141234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6362373465206524,0.037314044606946,0.025562208937526164,0.0,0.17893546256268314,0.0,0.12450541203058327,0.0,0.0,0.0,0.149256178427784,0.0,0.19531102788410526,0.13020735192273683,0.03853138880965392,0.0,0.19236604137020047,0.0,0.027892425614353372,0.0,0.2634976457027001,0.0,0.0,0.04573253641218232,0.0,0.04450068775232095,0.1453278419602472,0.0,0.0,0.0,0.14117769865158925,0.0,0.0,0.08060199439663787,0.11580766670294798,0.0,0.11194213382083798,0.0,0.0,0.0,0.10466852911666846,0.0,0.09021122218792381,0.1831699259541698,0.03890665172256677,0.0,0.0,0.09852578875716549,0.0,0.03811598205080386,0.11840180162012481,0.0,0.03984127538599012,0.0,0.08454653067084938,0.0,0.0,0.0,0.0,0.0,0.0,0.2036236133077656,0.0,0.0,0.0,0.0,0.3112836093689758,0.0
Lennon,0.0,0.08454675315455705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1357431228746388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8158289535112329,0.20099743290016808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3412764985107694,0.0,0.10099166645765646,0.0,0.1260489674003884,0.12711074462804745,0.0731066964197772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08854782862270279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3059257178473574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054392105453602846,0.0
Lennon,0.2734436033428694,0.13269678405212534,0.29879090808052494,0.0,0.1855516883638087,0.0,0.0,0.24949208624112137,0.0,0.0,0.0,0.0,0.0,0.08386492702140264,0.0,0.07293341029495061,0.0,0.13269678405212534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09406534063758354,0.0,0.0,0.19358833419896546,0.0,0.0,0.0,0.0,0.10515567601524768,0.1280449862688978,0.0,0.0,0.0,0.0,0.0,0.0,0.07674969708400807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2391350059381187,0.0,0.20846475449302468,0.0,0.0,0.0,0.0,0.0,0.04763998881966545,0.0,0.0,0.0,0.0,0.0,0.05382207951826798,0.0,0.0,0.0,0.44014005212859697,0.1657868697824657,0.0,0.0,0.1013267862239167,0.07839916865817662,0.081178570555833,0.0,0.0,0.0,0.0,0.09540350867897197,0.0,0.0,0.08012913344426176,0.06883764159932039,0.0,0.0,0.4916871139848633,0.0,0.0,0.0,0.0,0.0
Lennon,0.01389524965772622,0.0,0.02602850175099168,0.0,0.0,0.0,0.0,0.057051605984001726,0.0,0.0,0.04237319539539661,0.5232789560567642,0.0,0.0,0.023157625908707517,0.0,0.05437303186010212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181275065302588,0.0,0.6309604674388245,0.0,0.0,0.11804810359282931,0.0,0.0,0.026600027096719974,0.0,0.01603070271122811,0.039040234180841536,0.0,0.026510625544188232,0.039040234180841536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30159392997668777,0.0,0.0,0.0,0.0,0.0,0.02718651593005106,0.0,0.0,0.08372249411771912,0.0,0.04403720469737267,0.0,0.18557437880931765,0.0,0.0,0.033063393025709896,0.0,0.014525178799165345,0.0,0.04680114754631569,0.022018602348686335,0.0,0.02041407448971871,0.0,0.0,0.028286860647401973,0.0,0.0,0.0,0.0,0.030893997322678838,0.0,0.0,0.06187728425207961,0.02754099768719812,0.0,0.0,0.0,0.0,0.0,0.0,0.024430945916167724,0.0,0.0,0.0,0.0,0.0,0.21513139982020235,0.0,0.07808550525297504,0.0
Lennon,0.05793304355814705,0.0,0.043407937614278407,0.0,0.04717422055379849,0.3580263725741361,0.14553096874668628,0.0,0.2044951319444537,0.0,0.12366569615552772,0.0,0.7583141472681392,0.0,0.0,0.0,0.0,0.11807780325250304,0.07608110442091666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03327080620502515,0.0,0.06683632329850886,0.0,0.0,0.0,0.11393848618207117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14104473178680335,0.0,0.08801985065988316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079711595046337,0.0,0.017666528022218245,0.0,0.0,0.022669583496028167,0.0,0.0,0.09689502087862378,0.0,0.0,0.0,0.12727250407745158,0.10213413899659216,0.0,0.15668367939324504,0.0,0.0,0.18310935517447147,0.0,0.0,0.0,0.0,0.0,0.08255458789756606,0.0,0.0,0.10300034809025398,0.0,0.0,0.0,0.0,0.0,0.0,0.07854131762434327,0.0,0.0,0.039025321403482416,0.0,0.0,0.07596389082498722,0.12484520637802392
