LABEL,alright,away,baby,band,beep,better,blue,bungalow,came,care,cause,change,children,come,coming,dance,dead,dear,didn,does,door,dooroo,easy,eyes,feel,forever,getting,girl,goes,going,gone,gonna,good,goodbye,happy,head,hear,hello,help,hide,hold,home,honey,joob,jude,just,kind,know,leave,life,like,listen,little,lonely,long,look,lose,love,make,mind,money,morning,mother,mystery,need,night,number,paperback,people,pepper,place,rain,really,remember,ride,right,road,robert,roll,round,said,shoot,sing,submarine,tell,things,think,tight,time,today,told,tonight,true,waiting,want,words,world,writer,yeah,yellow
Lennon,0.0,0.036088345930343546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6785840426702513,0.0,0.0,0.0,0.05445172168391161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039507036160614545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4992478163906864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04959978717873125,0.12434439145073839,0.0,0.0,0.0,0.0,0.0,0.0,0.025687225810692133,0.033358574501099,0.03769057671368744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04959978717873125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04711962346810419,0.5085782911577302,0.0,0.0,0.0
Lennon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21130234068272577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31435055559884034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12724920459064973,0.0,0.0,0.0,0.0,0.2319062498060747,0.0,0.0,0.0,0.3851590401228423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12009019458783052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4937233734097209,0.13601112470593474,0.0,0.0,0.6012746824283317,0.0
Lennon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07178368510570607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011264946421320086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7239967170865615,0.015164747647566859,0.0,0.0,0.0,0.0,0.0,0.6853627208027124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020040574151969553,0.0,0.0,0.0,0.0,0.0,0.013975118353676787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lennon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4035756636928386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1838748599275742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.791076961583618,0.0,0.0,0.2017878318464193,0.0,0.33507668144256303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15658623466094068,0.0,0.0,0.0,0.0,0.0
Lennon,0.0,0.0814706642748188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08262966118594772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08918847335777336,0.09068680823158648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1506162254768486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09068680823158648,0.0,0.05798978302340932,0.1506162254768486,0.0,0.0,0.0,0.0,0.0,0.17017550916254484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10391605386361134,0.0,0.0,0.09753949607333103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9022054022009972,0.0,0.0,0.2239464018185002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lennon,0.0,0.0,0.0,0.0,0.0,0.0,0.3030259210815721,0.0,0.0,0.0,0.26755489234076385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35017858597520335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3187200543895969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4955830302793692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29602359923536603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23538547508710228,0.2628249663341542,0.0,0.0,0.09884979287062952,0.0,0.0,0.0,0.31063787829381423,0.0,0.21999815134306216,0.0,0.0,0.0,0.0,0.0
Lennon,0.0,0.0,0.0,0.0,0.0,0.0,0.5000936786717021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5452513541087755,0.0,0.20001029054025574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4585595905023666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4498069130543186,0.0,0.0,0.0
Lennon,0.0,0.0,0.0,0.3931548286680782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37857578657604346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3064951969135875,0.0,0.0,0.0,0.0,0.0,0.21373173339347173,0.0,0.0,0.6896853897180079,0.0,0.0,0.0,0.0,0.29465769654354285,0.0,0.0,0.0
Lennon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030541449171620428,0.0,0.0,0.5105167606695568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029489305789463172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028537526327230736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03746330423595574,0.0,0.0,0.0,0.0,0.02448850067916775,0.0,0.03638196355130861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1268705816136443,0.0,0.0,0.0,0.0,0.0,0.8233811441220187,0.0,0.0,0.026869303193134565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1966072273919406,0.0
Lennon,0.0,0.0,0.6592777186700788,0.0,0.0,0.3765618803390226,0.0,0.0,0.22999461133226928,0.0,0.0,0.0,0.1993373722554498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21166805771948125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2849452239108295,0.0,0.0,0.0,0.4496045412021027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052723239309085575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
